Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Location,1. What is your home zip code?,2. What brings you to Arthur Ave today?,,,,,,,,,3. If shopping/dining/visiting business - Did you specifically come to Arthur Ave to shop/dine/visit business or are you on your way to/from somewhere else?,4. How often do you visit the Little Italy neighborhood?,5. How did you get to Arthur Ave today?,,"6a. If bus, which bus lines do you use to get to or travel around the Arthur Ave area? (Enter all bus lines separated by commas)","6b. If bus, On a scale of 1-5 where 1 is very dissatisfied and 5 is very satisfied, how would you rate your bus trip today?","6c. If bus, what was the biggest issue with your bus ride today?",,"7a. If personal car, did you experience any difficulty finding parking on/around Arthur Avenue?","7b. If personal car, how long did it take you to find a spot?","7c. If personal car, about how many blocks away from your destination did you park?","7d. If personal car, did you pay to park?","7e. If personal car, how long will you be parked for?","7f. Specific to the Fordham Rd area, do you think a short-term parking zone (such as 30 mins or less) on or adjacent to Fordham Rd would be useful for quick errands or passenger pickup/drop-off?",,"8a. If personal car, dropped off or Taxis/ FHV, would you be more likely to take transit if bus speeds and reliability improved around the Arthur Ave area?","8b. If personal car, what would encourage you to use public transit for this trip?","9. Do you experience any pain points, obstacles or other transportation related challenges traveling in this neighborhood? If yes, please tell us what they are:","10. Would you support a busway along a portion Fordham Rd, between Jerome Ave and Webster Ave, that prioritizes buses and trucks by limiting thru traffic (local access and parking for private vehicles would still be allowed)? Most busways offer transit and freight priority, allowing buses and trucks to travel along the entire corridor. For other vehicles, such as taxis and cars, travel through the busway corridor is restricted, but general traffic are still allowed to enter for local access – meaning cars can enter for loading, picking up, and dropping off customers. Newly added parking spaces may also be included in some portions of the busway where the bus lane currently exists.",*11. How do you identify in terms of gender? (Select all that apply),,,,,,,*12. How do you identify in terms of race/ethnicity? (Select all that apply),,,,,,,,,,*13. What is your age? (Enter 0 if they prefer not to say),Additional Comments:
,,,,,,,,,Response,Open-Ended Response,Shopping/Dining/Visiting Business,Live Here,Medical,Work,School,Social/Recreational/Religious,Community Resource,Transit Transfer/Going Home/Passing Through,Other (please specify),Response,Response,Response,How long did it take you (in minutes)?<br>NOTE: Round to the nearest 5 minutes increment,Open-Ended Response,Response,Response,Other (please specify),Response,Response,Response,Response,Response,Response,"If yes, where?",Response,Open-Ended Response,Open-Ended Response,Response,Male,Female,Trans male/Trans man,Trans female/Trans woman,Genderqueer/Gender non-conforming/Gender fluid,Prefer not to say,Different Identity (please state):,American Indian and/or Alaska Native,Asian,Black or African American,Hispanic or Latinx,Middle Eastern and/or North African,Native Hawaiian and/or Other Pacific Islander,White,"Other race, ethnicity or origin",Prefer not to say,Different Identity (please state):,Open-Ended Response,Open-Ended Response
1.14289E+11,425087348,2023-04-07 15:33:11,2023-04-07 15:40:56,174.216.249.20,,,,,,6883,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,70 minutes,,,,,No,5 minutes or less,1-2 blocks,No,More than 2 hours,Yes,,No,No. Because I drive from Connecticut,Traffic,2 - Agree,,Female,,,,,,,,,,,,White,,,,24,
1.14289E+11,425087348,2023-04-07 15:24:49,2023-04-07 15:40:54,174.197.138.28,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",12540,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,,,,,,Yes,More than 15 minutes,3-5 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",1 hour 1 minute - 2 hours,No,,No,Nothing,No,4 - Disagree,,Female,,,,,,,,,,,,White,,,,63,
1.14289E+11,425087348,2023-04-07 15:22:37,2023-04-07 15:39:04,174.204.133.169,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10024,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Subway,,,,,,,,,,,,,,,Participant traveled from Manhattan via subway and noticed sidewalks are uneven in the Fordham Area. ,1 - Strongly Agree,,Female,,,,,,,,,,,,White,,,,38,"Participant is a strong supporter of the busway and is a Manhattan resident who is highly familiar with busways and supports their use in Manhattan.  She walked to E187th St from the Bedford Park B,D station."
1.14289E+11,425087348,2023-04-07 15:22:54,2023-04-07 15:33:11,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10742,Shopping/Dining/Visiting Business,,Medical,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Bus,30 minutes ,Bx19,4 - Satisfied,No issues,,Yes,11 - 15 minutes,3-5 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",31 minutes - 1 hour,Yes,,Yes,I used more public transportation ,N/A,1 - Strongly Agree,Male,,,,,,,,,,Hispanic or Latinx,,,,,,,35,
1.14289E+11,425087348,2023-04-07 15:18:06,2023-04-07 15:24:54,174.216.213.72,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10458,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Walk,,Bx9 bx12 bx22,2 - Dissatisfied,Bus was slow,,,,,,,,,,,No problem,1 - Strongly Agree,,Female,,,,,,,,,Hispanic or Latinx,,,,,,,35,Dangerous Street 
1.14289E+11,425087348,2023-04-07 15:10:50,2023-04-07 15:24:49,174.197.138.28,,,,,"Arthur Avenue Retail Market, 2344 Arthur Avenue, The Bronx, NY 10458",10532,,,,,,,,,Shopping,Visited another nearby shopping district (i.e. Fordham Rd or others),Monthly,Personal Car,,,,,,Yes,More than 15 minutes,1-2 blocks,"Yes, off street (in a lot/garage)",1 hour 1 minute - 2 hours,Yes,,No,Nothing,Crowded streets,2 - Agree,Male,,,,,,,,,,,,,White,,,,71,None
1.14289E+11,425087348,2023-04-07 15:15:59,2023-04-07 15:22:54,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10031,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Seasonally,Personal Car,20 minutes,,,,,No,5 minutes or less,1-2 blocks,"Yes, on street metered parking (i.e. Arthur Ave or side street)",31 minutes - 1 hour,Yes,Parts of Arthur Ave,No,"Faster, more reliable, safer, transportation to come here.",None,3 - Neutral,,Female,,,,,,,,,,,,White,,,,50,
1.14288E+11,425087348,2023-04-07 15:03:19,2023-04-07 15:18:05,174.216.213.72,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Monthly,Bus,,Bx12,4 - Satisfied,Bus was too crowded,,,,,,,,,,,No problem ,4 - Disagree,,Female,,,,,,,,,,,,White,,,,65,The services are good.
1.14288E+11,425087348,2023-04-07 15:11:26,2023-04-07 15:15:59,174.216.249.20,,,,,"Casa Della Mozzerella, 604 East 187 St, The Bronx, NY 10458",10603,Shopping/Dining/Visiting Business,,,,,,,,,Came specifically to Arthur Ave to visit businesses,Weekly,Personal Car,35 minutes ,,,,,Yes,11 - 15 minutes,1-2 blocks,"Yes, off street (in a lot/garage)",1 hour 1 minute - 2 hours,No,,No,None,"Potholes, traffic ",2 - Agree,,Female,,,,,,,,,,,,White,,,,58,
