Respondent ID,Response Date,Responses,Tags,Sentiment
118260703549,Mar 06 2023 11:03 AM,Tear the damn thing down,Close it,Negative
118260526047,Mar 06 2023 08:01 AM,Do not take away lanes for this very important corridor. ,Expand lanes,Negative
118260518383,Mar 06 2023 07:51 AM,I’ve been driving through the BQE for 2 decades and it’s been in a perpetual state of disrepair. ,Road surface improvements,Negative
118260279796,Mar 06 2023 12:24 AM,I would like there to be fewer private vehicles on the BQE. I would like the highway to be demolished. I would like an increase in walking and biking space. I want cleaner air in the areas surrounding the BQE.,"Protected bike lanes, Air Pollution, Pedestrian safety, Close it",Negative
118260266407,Mar 05 2023 11:50 PM,do not take down the promenade to make room for more cars. We need fewer cars in this city and this is an opportunity to do that,Don't reduce promenade,Negative
118260255102,Mar 05 2023 11:23 PM,the BQE is a scar on Brooklyn and should be removed,Close it,Negative
118260225056,Mar 05 2023 10:12 PM,PLEASE help make NYC more welcoming to bikes and pedestrians and help stop the endless honking and pollution of the BQE!,"Cyclist Safety, Air Pollution, Pedestrian safety, Noise pollution",Negative
118260213492,Mar 05 2023 09:45 PM,It would be great if it was underground so we can get some land back for the communities and create spaces that will not cause continued gentrification.,"Close it, Tunnel",Negative
118260212429,Mar 05 2023 09:43 PM,"At 5am, it's already a parking lot. I hpoe you will have 3 shifts on during the summer so you can open the 3 lanes back up.",Expand lanes,Negative
118260210523,Mar 05 2023 09:38 PM,I think if it was underground it would reduce noise and improve air quality. Add parks to improve quality of life.,"Air Pollution, Noise pollution, Green space",Negative
118260210006,Mar 05 2023 09:37 PM,Improve the safety; spaces; improve parking to prevent abandoned cars,"Traffic safety, Add parking",Negative
118260209432,Mar 05 2023 09:35 PM,"The most important elements of the BQE redesign to me are climate and public health impacts.  Asthma and pulmonary conditions are more prevalent in communities along the BQE.  Air pollution from vehicles contributes not only to these worse public health outcomes but also to climate change.  A redesign of he BQE should focus on increasing green spaces, reconnecting neighborhoods that are disconnected due to the highway, and ensuring that the volume of vehicles using the BQE does not increase.  

Increasing roadway capacity would only lead to increased roadway use and higher traffic volumes, worsening the health outcomes of communities living along the BQE and making New York prioritize vehicles over public spaces, at a time when many large cities are doing the opposite.  The redesign should focus on creating greener spaces, connected communities, and healthier air.","Air Pollution, Green space",Negative
118260208554,Mar 05 2023 09:33 PM,The freight issue will drive this process. There are so many trucks and so much money at stake.,Heavy car traffic,Negative
118260205156,Mar 05 2023 09:25 PM,Respect NYC laws,Hopeful,Positive
118260187187,Mar 05 2023 08:42 PM,Expand it.,Expand lanes,Negative
118260180188,Mar 05 2023 08:25 PM,I know BQE is a major highway so cars are traveling very fast on it. Problem is they maintain the same speed getting off the BQE onto normal roads. It's very deadly. ,Dangerous driver behavior,Negative
118260151336,Mar 05 2023 07:07 PM,"Yeah, it’s gotten worse ever since the bike lobby (funded by large corporations like Lyft and Uber) have been able to influence the DOT",Unrelated comment,Negative
118260142527,Mar 05 2023 06:40 PM,No,Unrelated comment,Positive
118260137576,Mar 05 2023 06:25 PM,The bqe must maintain the view of Manhattan when traveling east. It’s one of the most iconic views by car,Hopeful,Positive
118260128165,Mar 05 2023 05:55 PM,Having three lanes for vehicles is important to the safety of those who use it. Eliminating one lane has and will continue to cause congestion and traffic throughout North Brooklyn. ,Expand lanes,Negative
118260113506,Mar 05 2023 05:10 PM,Reducing noise and pollution are paramount. The BQE especially causes huge traffic and safety issues near it’s on-ramps. Aggressive driver behavior is rampant and it makes for a very unsafe biking and pedestrian experience.,"Cyclist Safety, Traffic congestion, Traffic safety, Air Pollution, Pedestrian safety, Noise pollution, Dangerous driver behavior",Negative
118260113530,Mar 05 2023 05:10 PM,Get rid of this hazardous highway or at least reduce the size of it.,Close it,Negative
118260111647,Mar 05 2023 05:05 PM,The BQE is an oppressive structure throughout its length.  The experience of being near it is always worse than it is just a block or two away.  There is no way to make this acceptable.,Close it,Negative
118260097947,Mar 05 2023 04:27 PM,"Keep it at 2 lanes, don't need more vehicle traffic in these neighborhoods ",Reduce lanes,Negative
118260086697,Mar 05 2023 03:53 PM,It causes dangerous concentrations of particulate matter in the air my family breathes,Air Pollution,Negative
118260083815,Mar 05 2023 03:44 PM,"Time to tear down the BQE. If not, then reduce the number of lanes. We absolutely should not revert to 3 lanes through Brooklyn Heights. ","Close it, Reduce lanes",Negative
118260076285,Mar 05 2023 03:21 PM,"The BQE in its current form is my least favorite thing about Williamsburg. It really divides the neighborhood in two because crossing it is such a dangerous and unpleasant experience.

I often cross Meeker at Union Ave and the cars coming off the exit onto Meeker drive fast and recklessly. Combine that with the chaos of cars speeding on Union and turning onto Meeker while trying to cross 3 lanes of traffic and it’s a nightmare for pedestrians. Make it across that, then traverse the dark and damp underside of the BQE only to have to wait for a 2nd walk signal on the other side and do it all again.

I’d love to see the BQE completely eliminated, but it needs at a minimum to be reduced in width, reduced in the number of lanes, and the same goes for the roads it connects to, like Meeker, which is a highway in and of itself.","Close it, Reduce lanes, Pedestrian safety",Negative
118260058961,Mar 05 2023 02:30 PM,"Tunneling it with flood proof entrance to tunnels, and give the land back for pedestrian, open space, and building uses",Tunnel,Negative
118260057222,Mar 05 2023 02:25 PM,"The prospect expressway interchange is deadly and stupid. There is no reason why 3rd and 4th avenues turn pedestrians and people who bike into human bowling pins to be run over so a commuter can get back to Staten Island 10 seconds faster. Get rid of the street level exit, or if that’s cost prohibitive add speed and red light cameras on every lane every 50 feet, add weight sensors that auto-ticket overweight and out of state vehicles, add grade separated crosswalks, separated lanes for bikes and sidewalk barricades. ","Planning advice, Cyclist Safety, Pedestrian safety",Negative
118260053923,Mar 05 2023 02:15 PM,"The prospect expressway interchange is deadly and stupid - there is no reason why 3rd and 4th avenues turn pedestrians and people who bike into human bowling pins so that commuters can get home 10 seconds earlier. Get rid of it, or if that’s cost prohibitive, add speed and red light cameras on every lane every 50 feet, add weight sensors that auto-ticket overweight and out of state vehicles. ","Potential duplicate, Pedestrian safety, Cyclist Safety",Negative
118260039393,Mar 05 2023 01:46 PM,Less focus on cars & trucks! More focus on public transit,Alternative Transportation,Negative
118260038438,Mar 05 2023 01:31 PM,The traffic backup at the Wythe/Kent exit is insanely dangerous ,Traffic congestion,Negative
118260036432,Mar 05 2023 01:25 PM,Should be increased in size due to the amount & size of commercial cargo trucks. It’s a long commute & public transportation takes too long to commute to work or visit family. ,Expand lanes,Negative
118260030747,Mar 05 2023 01:09 PM,Bicycles must be licensed and train. Pedestrians getting hit all the time and no actions taken because can’t track these bikes.,Dangerous cyclist behavior,Negative
118260029831,Mar 05 2023 01:07 PM,"3 lanes in both directions.

Hov lane ","Expand lanes, HOV Lanes",Negative
118260012502,Mar 05 2023 12:26 PM,We do not need more bike lanes and walking paths. That increases traffic significiantly.,Protected bike lanes,Negative
118260001232,Mar 05 2023 11:57 AM,The traffic is horrendous at all hours. We need a better more safer highway. ,Traffic congestion,Negative
118259995630,Mar 05 2023 11:41 AM,Wider lanes,Expand lanes,Negative
118259994611,Mar 05 2023 11:38 AM,"We should invest in public transportation, not cars. We need less pollution and less noise.","Air Pollution, Alternative Transportation, Noise pollution",Negative
118259988428,Mar 05 2023 11:20 AM,would like separated (not on a highway) continuous bike lane that isn’t part of the car streets with good connections to interior neighborhoods in brooklyn. having to bike through downtown brooklyn without separated bike path is a deterrent to going from south stretch to north stretch of bqe corridor. lots of cars use the unprotected bike lanes to pass and park which ends up feeling more dangerous than biking in the car lane sometimes ,"Protected bike lanes, Cyclist Safety",Negative
118259988020,Mar 05 2023 11:19 AM,Drivers do not pay attention to bikers in this area. I’ve almost been hit multiple times by people accessing the highway,"Dangerous driver behavior, Cyclist Safety",Negative
118259979285,Mar 05 2023 10:56 AM,More lanes less bike bullshit,Expand lanes,Negative
118259969979,Mar 05 2023 10:30 AM,"The BQE shakes my building, the pollution & noise are gross, the cars & trucks are inhumane. In general the BQE is terrible for the people of NYC. ","Vibrations, Heavy truck traffic, Air Pollution, Heavy car traffic, Noise pollution",Negative
118259966282,Mar 05 2023 10:20 AM,"No speeding 
Extend the road ","Expand lanes, Potential duplicate, Enforcement",Negative
118259965586,Mar 05 2023 10:18 AM,No speeding ,"Expand lanes, Potential duplicate, Enforcement",Negative
118259965243,Mar 05 2023 10:17 AM,No speeding,"Expand lanes, Potential duplicate, Enforcement",Negative
118259964950,Mar 05 2023 10:16 AM,We need softer environment ,Unrelated comment,Negative
118259964515,Mar 05 2023 10:15 AM,Don't overtake and obey the traffic lights,"Potential duplicate, Enforcement",Negative
118259963849,Mar 05 2023 10:13 AM,Don't speed and obey the traffic lights,"Potential duplicate, Enforcement",Negative
118259963171,Mar 05 2023 10:11 AM,Don't overtake ,"Potential duplicate, Enforcement",Negative
118259960409,Mar 05 2023 10:04 AM,Reduce highway to two lanes,Reduce lanes,Negative
118259960164,Mar 05 2023 10:03 AM,Open new way ,Expand lanes,Negative
118259959654,Mar 05 2023 10:02 AM,No speeding,"Expand lanes, Potential duplicate",Negative
118259959191,Mar 05 2023 10:01 AM,Open new road,Expand lanes,Negative
118259956608,Mar 05 2023 09:54 AM,More lanes for cars & buses must be the priority. ,"Expand lanes, Alternative Transportation",Negative
118259954545,Mar 05 2023 09:49 AM,I wish there were fewer accidents,Dangerous driver behavior,Negative
118259951864,Mar 05 2023 09:42 AM,without the mess of electric motorcycles,Dangerous cyclist behavior,Negative
118259952108,Mar 05 2023 09:42 AM,Please don't let the bike lobby make decisions not supported by the vast majority of the people. ,Reduce bike lanes,Negative
118259950758,Mar 05 2023 09:39 AM,Be present in continuous accidents that occur,Traffic safety,Negative
118259944392,Mar 05 2023 09:22 AM,"Fix the congestion. Bicycles doesn't contribute to our state. We drivers pay gas tax, car registration fees, parking tickets, camera tickets etc... Goods travelling into NYC gets delayed loss of productivity.. Bicycle lanes doesn't have to be on every road. There are perfectly good bike trails etc. ",Traffic congestion,Negative
118259942838,Mar 05 2023 09:17 AM,"Reduce BQE capacity. Encourage transportation alternatives to cars by improving/increasing/promoting public transit, biking, and walking","Close it, Alternative Transportation",Negative
118259940794,Mar 05 2023 09:12 AM,"Obviously, having a major automotive corridor abutting residential area causes massive amounts of debris and pollution. More trees and green foliage to shade and shield this debris would be optimal. ",Green space,Negative
118259938496,Mar 05 2023 09:05 AM,"Repair it as is, make it wider ","Expand lanes, Road surface improvements",Negative
118259936728,Mar 05 2023 09:00 AM,Reduce Reduce reduce,Close it,Negative
118259936319,Mar 05 2023 08:59 AM,"We need 3 lanes in either direction, minimum.",Expand lanes,Negative
118259930275,Mar 05 2023 08:42 AM,"Keeping it 3 lanes is a terrible mistake. Will not solve any issues.

The 2 options on the table for during construction are problematic. What about a temp car ferry service plus redirect through HC Tunnel/FDR?","Planning advice, Reduce lanes",Negative
118259930087,Mar 05 2023 08:42 AM,Better pedestrian and bike options. Fewer car lanes. Fewer private vehicles,"Cyclist Safety, Protected bike lanes, Pedestrian safety",Negative
118259916808,Mar 05 2023 08:06 AM,Large trucks need to be kept off our narrow residential streets. ,Heavy truck traffic,Negative
118259916224,Mar 05 2023 08:04 AM,2 lanes will increase traffic congestion while at the same time decrease air quality. Icing vehicles in traffic create more pollution.,"Air Pollution, Traffic congestion",Negative
118259914840,Mar 05 2023 08:01 AM,N/A,Unrelated comment,Neutral
118259906826,Mar 05 2023 07:38 AM,No bike lines- ridiculous how activists groups have overtaken common sense and the public interest for their own lobbying goals.  Bike have no place in major thoroughfare ,Reduce bike lanes,Negative
118259905245,Mar 05 2023 07:33 AM,It's super dangerous to drive on and an eyesore to walk under. It's terrible to live next to.,"Dangerous driver behavior, Pedestrian safety",Negative
118259904849,Mar 05 2023 07:31 AM,"Get rid of the BQE, but if it stays no more than 2 lanes ","Close it, Reduce lanes",Negative
118259851942,Mar 05 2023 04:47 AM,Fix the potholes!!!,Road surface improvements,Negative
118259806375,Mar 05 2023 02:20 AM,Restore it to 3 lanes. Don’t let TransAlt and OpenPlans lobbyists control what happens to it ,Expand lanes,Negative
118259805536,Mar 05 2023 02:18 AM,"Please reduce the number of car lanes and replace with bicycle, pedestrian, and public transportation options ","Protected bike lanes, Cyclist Safety, Pedestrian safety, Alternative Transportation",Negative
118259801632,Mar 05 2023 02:05 AM,Easier driving ,"Hopeful, Traffic safety",Positive
118259793814,Mar 05 2023 01:38 AM,The area under the viaduct in gowanus/sunset park is extremely scary as a cyclist and pedestrian ,"Cyclist Safety, Pedestrian safety",Negative
118259782441,Mar 05 2023 12:59 AM,Speed cameras,Enforcement,Negative
118259781918,Mar 05 2023 12:57 AM,Get rid of it.,Close it,Negative
118259781252,Mar 05 2023 12:55 AM,"It's a highway, not the High Line. Bring back all of its lanes, build more if at all possible. ",Expand lanes,Negative
118259780604,Mar 05 2023 12:52 AM,Far too many cyclists.,Dangerous cyclist behavior,Negative
