ROUTE_ID,STOP_ID,STO_BOX_ID,SRS_REL_STOP,STOP_NAME,DIRECTION,DAYTYPE,TRIPTYPE,HOUR,ONS,OFFS,LEAVE_LOAD
BX36,21245,403667,1,W 178 ST/FT WASHINGTON AV,EB,Weekday,Local,0,14,0,14
BX36,21049,403783,2,WADSWORTH AV/W 181 ST,EB,Weekday,Local,0,12,1,26
BX36,43551,403656,3,W 181 ST/ST NICHOLAS AV,EB,Weekday,Local,0,23,1,48
BX36,43552,403658,4,W 181 ST/AMSTERDAM AV,EB,Weekday,Local,0,15,4,59
BX36,43514,100148,5,UNIVERSITY AV/N OF WASHINGTON BDG,EB,Weekday,Local,0,2,5,54
BX36,21148,100149,6,UNIVERSITY AV/W 174 ST,EB,Weekday,Local,0,1,5,49
BX36,21149,100151,7,UNIVERSITY AV/W 176 ST,EB,Weekday,Local,0,1,3,46
BX36,43515,100152,8,UNIVERSITY AV/W TREMONT AV,EB,Weekday,Local,0,1,8,36
BX36,48661,102357,9,W TREMONT AV/W 177 ST,EB,Weekday,Local,0,2,2,38
BX36,21817,102358,10,W TREMONT AV/DAVIDSON AV,EB,Weekday,Local,0,1,4,32
BX36,48662,102359,11,E TREMONT AV/JEROME AV,EB,Weekday,Local,0,5,5,37
BX36,48663,102361,12,E TREMONT AV/GRAND CONCOURSE,EB,Weekday,Local,0,8,5,41
BX36,21820,102363,13,E TREMONT AV/ANTHONY AV,EB,Weekday,Local,0,3,2,42
BX36,44215,102492,15,E TREMONT AV/3 AV,EB,Weekday,Local,0,2,5,40
BX36,43654,102493,16,E TREMONT AV/ARTHUR AV,EB,Weekday,Local,0,1,4,36
BX36,43721,102494,17,E TREMONT AV/CROTONA AV,EB,Weekday,Local,0,0,3,33
BX36,43656,102495,18,E TREMONT AV/PROSPECT AV,EB,Weekday,Local,0,1,2,32
BX36,43658,102498,20,E TREMONT AV/VYSE AV,EB,Weekday,Local,0,1,3,28
BX36,43659,102499,21,E TREMONT AV/BOSTON RD,EB,Weekday,Local,0,3,2,32
BX36,44218,102566,23,E TREMONT AV/MORRIS PK AV,EB,Weekday,Local,0,3,3,33
BX36,43663,102568,24,E TREMONT AV/COMMONWEALTH AV,EB,Weekday,Local,0,3,2,35
BX36,43665,104104,25,E TREMONT AV/THIERIOT AV,EB,Weekday,Local,0,1,3,30
BX36,8237,103310,26,WHITE PLAINS RD/E TREMONT AV,EB,Weekday,Local,0,1,3,28
BX36,8238,103311,27,WHITE PLAINS RD/ARCHER ST,EB,Weekday,Local,0,4,1,31
BX36,47421,103903,28,WHITE PLAINS RD/WOOD AV,EB,Weekday,Local,0,3,2,32
BX36,47392,102394,29,WHITE PLAINS RD/WESTCHESTER AV,EB,Weekday,Local,0,12,3,39
BX36,8205,102395,30,WHITE PLAINS RD/GLEASON AV,EB,Weekday,Local,0,2,2,39
BX36,8204,102396,31,WHITE PLAINS RD/WATSON AV,EB,Weekday,Local,0,0,2,38
BX36,47419,103701,32,WHITE PLAINS RD/BRUCKNER BL,EB,Weekday,Local,0,1,7,35
BX36,8202,103653,33,WHITE PLAINS RD/STORY AV,EB,Weekday,Local,0,1,9,26
BX36,43843,103355,34,LAFAYETTE AV/WHITE PLAINS RD,EB,Weekday,Local,0,0,10,15
BX36,11102,102401,35,SEWARD AV/PUGSLEY AV,EB,Weekday,Local,0,0,4,11
BX36,11103,102978,36,OLMSTEAD AV/SEWARD AV,EB,Weekday,Local,0,0,14,0
BX36,21245,403667,1,W 178 ST/FT WASHINGTON AV,EB,Weekday,Local,1,5,0,5
BX36,21049,403783,2,WADSWORTH AV/W 181 ST,EB,Weekday,Local,1,4,0,10
BX36,43551,403656,3,W 181 ST/ST NICHOLAS AV,EB,Weekday,Local,1,8,0,18
BX36,43552,403658,4,W 181 ST/AMSTERDAM AV,EB,Weekday,Local,1,4,1,21
